seed,alpha,fold,cosine,diff_vs_base
0,0.0,0,0.1389358934836272,0.0
0,0.0,1,0.1416845816021321,0.0
0,0.0,2,0.14111218290893007,0.0
0,0.5,0,0.12903472371639826,-0.009901169767228934
0,0.5,1,0.1355995746952835,-0.0060850069068486
0,0.5,2,0.137131543433758,-0.003980639475172076
0,1.0,0,0.10608356731367947,-0.032852326169947724
0,1.0,1,0.11959786408328012,-0.02208671751885198
0,1.0,2,0.12539060907074462,-0.015721573838185454
1,0.0,0,0.13827866269435984,0.0
1,0.0,1,0.14106642882411466,0.0
1,0.0,2,0.14000047583963143,0.0
1,0.5,0,0.12824887024821383,-0.010029792446146019
1,0.5,1,0.13674285224389743,-0.004323576580217231
1,0.5,2,0.13599391362594243,-0.004006562213689002
1,1.0,0,0.10890767239603373,-0.029370990298326113
1,1.0,1,0.11708346000269466,-0.023982968821419995
1,1.0,2,0.12324044770523933,-0.016760028134392105
