block,lo,hi,n,cosine,seed_std
36-38,36,38,53130,0.12024953388822553,0.0028112682857185053
39-41,39,41,53344,0.13646805092662848,0.0008001412252110711
42-44,42,44,53251,0.12201792076794742,0.0018725554365368613
45-47,45,47,53453,0.13087211276137584,0.0016232964324439996
48-50,48,50,53452,0.13451359184942777,0.0024590625496059702
51-53,51,53,53412,0.1263413417014194,0.0022494093592692345
54-56,54,56,53229,0.12493392965810844,0.0019450893327598439
57-59,57,59,53131,0.13911950688399569,0.0011061215784719134
60-62,60,62,53220,0.12369519137892108,0.0009966239049849328
63-65,63,65,53175,0.13680479435710824,0.0024480530120080195
66-68,66,68,52028,0.1476131677740485,0.0031514171274931737
69-70,69,70,35051,0.11711637076001091,0.001845356884886273
