feature,mean_abs_shap,family,share
ord_new_count_imbalance_30s,5.687353708402265e-05,ord,0.03236878246498257
ord_new_count_imbalance_60s,4.677627581506285e-05,ord,0.02662206667650964
ord_new_count_imbalance_10s,4.015790123722315e-05,ord,0.022855310853579704
txn_count_imbalance_10s,3.85925495773769e-05,txn,0.021964412731947016
mkt_mid_return_60s,2.9654858452389616e-05,mkt,0.01687765016016402
mkt_micro_minus_mid_last,2.8257664299804303e-05,mkt,0.01608245654455391
ord_new_count_imbalance_5s,2.7427705945451446e-05,ord,0.01561009729270443
txn_volume_imbalance_30s,2.726081651243552e-05,txn,0.015515114493498253
ord_ofi_60s,2.1966744675219417e-05,ord,0.01250206715305107
mkt_microprice_last,2.0842965283385506e-05,mkt,0.011862483745056544
mkt_depth_imb12_mean_600s,1.9886169942296423e-05,mkt,0.011317936986632375
txn_volume_imbalance_10s,1.9030400116393867e-05,txn,0.010830887494813136
mkt_mid_start_600s,1.898679597603383e-05,mkt,0.010806070804903357
ord_cancel_count_imbalance_60s,1.8965858813310817e-05,ord,0.010794154709995913
txn_count_imbalance_30s,1.8815535749894577e-05,txn,0.010708600429593033
txn_volume_imbalance_1s,1.853229950348987e-05,txn,0.010547400460044319
mkt_mid_return_30s,1.7229151662980372e-05,mkt,0.009805731994676202
mkt_mid_std_600s,1.6894590105167406e-05,mkt,0.009615320938124634
ord_decay_imbalance_lam0p1,1.6880554456549617e-05,ord,0.009607332743963384
ord_cancel_count_imbalance_30s,1.6804258293261444e-05,ord,0.009563909843981989
mkt_trade_aggression_60s,1.677465377409786e-05,mkt,0.00954706084372778
txn_volume_imbalance_5s,1.6518147734260735e-05,txn,0.009401073999403752
mkt_trade_aggression_600s,1.6202717346305565e-05,mkt,0.00922155118204351
mkt_mid_return_120s,1.6121879974551692e-05,mkt,0.009175543716436503
ord_ofi_30s,1.5982116118695406e-05,ord,0.009095999062127491
mkt_mid_range_600s,1.586709508083711e-05,mkt,0.009030536438485299
mkt_mid_return_600s,1.3732692628618003e-05,mkt,0.007815770974425313
mkt_trade_aggression_120s,1.3648775984655368e-05,mkt,0.007768010983876368
mkt_depth_imb1_delta_5s_vs_600s,1.2436991184216022e-05,mkt,0.007078340521815154
txn_count_imbalance_60s,1.215073836576886e-05,txn,0.006915423712251936
txn_volume_imbalance_60s,1.1759078465332736e-05,txn,0.0066925159282900494
mkt_trade_aggression_5s,1.1659296393922683e-05,mkt,0.006635726350412983
txn_count_imbalance_5s,1.1419337357922292e-05,txn,0.006499157003137665
txn_vwap_60s,1.1221615723781617e-05,txn,0.006386626485567336
txn_count_imbalance_1s,1.0925147758195181e-05,txn,0.006217895867112463
mkt_ask_slope_last,1.0594533498690836e-05,mkt,0.006029731360482475
mkt_mid_range_300s,1.0531718944082749e-05,mkt,0.005993981330539021
ord_ask_vwap_1s,1.0369533976435189e-05,ord,0.005901676012353546
mkt_trade_volume_rate_600s,1.0076985589148748e-05,mkt,0.0057351761673629575
mkt_mid_std_300s,9.445199559824878e-06,mkt,0.00537560393753334
ord_avg_new_size_10s,9.303841301271113e-06,ord,0.005295151851108756
ord_ask_vwap_60s,8.889612588888154e-06,ord,0.005059399341781522
mkt_mid_mean_300s,8.76588449593222e-06,mkt,0.00498898121885414
mkt_depth_imb12_mean_300s,8.763198433239142e-06,mkt,0.004987452483638127
mkt_micro_minus_mid_10s,8.753873876639971e-06,mkt,0.0049821455419633886
mkt_bid_slope_last,8.732649998314962e-06,mkt,0.0049700662668595635
ord_bid_vwap_30s,8.686998063598108e-06,ord,0.0049440841032784184
ord_cancel_count_imbalance_10s,8.358113440323341e-06,ord,0.004756903995047568
txn_volume_rate_5s,8.31323959442308e-06,txn,0.0047313646698924116
mkt_mid_range_120s,8.223419354766311e-06,mkt,0.004680244729978926
mkt_micro_minus_mid_5s,8.129453686142656e-06,mkt,0.0046267654768359
mkt_trade_aggression_30s,8.111692831771559e-06,mkt,0.004616657133641403
ord_avg_new_size_5s,7.94010100500134e-06,ord,0.004518998032444855
mkt_depth_last_vs_mean,7.821348389705978e-06,mkt,0.004451411633414238
mkt_depth_imb1_delta_10s_vs_600s,7.767268882147867e-06,mkt,0.0044206330339862515
mkt_trade_aggression_10s,7.762351415007724e-06,mkt,0.004417834325970205
mkt_depth_imb12_last,7.189861827978944e-06,mkt,0.004092009841401474
mkt_mid_return_300s,7.1594005806049505e-06,mkt,0.004074673246204236
ord_cancel_count_imbalance_1s,7.0991457281181876e-06,ord,0.0040403800351151795
mkt_depth_imb1_mean_30s,7.0975350044724535e-06,mkt,0.004039463314158947
mkt_mid_mean_120s,7.0408275498775264e-06,mkt,0.0040071890552322645
mkt_mid_range_60s,6.96560544776867e-06,mkt,0.0039643774422298385
ord_avg_cancel_size_60s,6.942288087047643e-06,ord,0.003951106690742703
ord_avg_new_size_60s,6.917172222030577e-06,ord,0.003936812345554427
mkt_mid_std_120s,6.893624777409786e-06,mkt,0.003923410645016431
mkt_mid_start_300s,6.885937713465497e-06,mkt,0.003919035659507099
mkt_mid_return_10s,6.8244915545201885e-06,mkt,0.003884064432919397
ord_bid_vwap_60s,6.68356134561229e-06,ord,0.0038038559649961694
ord_decay_imbalance_lam0p5,6.629550708769395e-06,ord,0.003773116562377689
mkt_mid_last,6.614425399968622e-06,mkt,0.0037645082032815315
txn_volume_rate_10s,6.587084664510701e-06,txn,0.0037489476040319606
txn_price_range_60s,6.204174754261968e-06,txn,0.003531019755264328
mkt_depth_imb1_mean_120s,6.189972202948074e-06,mkt,0.0035229365707553704
mkt_trade_count_rate_600s,6.111927388211124e-06,mkt,0.0034785184501273524
