sample_id,feature,feature_value,shap_value
1249443,mkt_depth_imb12_mean_600s,-0.3936922550201416,3.665816669198723e-05
1249443,txn_count_imbalance_10s,-0.7777777910232544,-3.6090449808501076e-05
1249443,ord_new_count_imbalance_30s,-0.1428571492433548,-2.9691537751549057e-05
1249443,txn_volume_imbalance_30s,-0.6888889074325562,-2.9469343028833368e-05
1249443,ord_ask_vwap_1s,0.9940943717956543,2.9133852797193066e-05
1249443,ord_new_count_imbalance_60s,-0.1515151560306549,-2.721633123053345e-05
1249443,txn_volume_imbalance_1s,-1.0,-2.669838502468281e-05
1249443,mkt_trade_aggression_120s,0.18466556072235107,2.570765235998334e-05
1249443,txn_volume_imbalance_10s,-0.8604651093482971,-2.389236482818708e-05
1249443,txn_count_imbalance_1s,-1.0,-2.3073089632194642e-05
1249443,mkt_trade_aggression_600s,0.14258894324302673,-2.2901504726006117e-05
1249443,txn_volume_imbalance_5s,-0.8604651093482971,-2.042267041099243e-05
1249443,ord_new_count_imbalance_5s,-0.5,-2.0193038776531033e-05
1249443,txn_count_imbalance_30s,-0.529411792755127,-1.988302868798214e-05
1249443,mkt_trade_aggression_60s,0.12891040742397308,1.9722507127525834e-05
1249443,mkt_mid_return_60s,-0.0007833963027223945,1.953360852590217e-05
1249443,txn_vwap_5s,1.0007119178771973,1.9032317896279213e-05
1249443,ord_new_count_imbalance_10s,-0.20000000298023224,-1.7656580555084134e-05
1249443,txn_vwap_60s,1.001067042350769,1.66622857575266e-05
1249443,mkt_depth_imb1_mean_600s,-0.30931052565574646,1.6381447558596332e-05
1199243,mkt_micro_minus_mid_last,-0.0007887093815952539,-0.00013078004354321793
1199243,ord_new_count_imbalance_60s,0.5616438388824463,0.00010994189952853428
1199243,mkt_depth_imb12_mean_600s,-0.43309450149536133,7.599359864536938e-05
1199243,ord_new_count_imbalance_5s,0.529411792755127,7.353045361484288e-05
1199243,txn_count_imbalance_1s,1.0,7.225007026024545e-05
1199243,txn_intensity_5s,2.4000000953674316,7.083967900453053e-05
1199243,ord_ofi_60s,0.4598262906074524,7.021050429715271e-05
1199243,mkt_mid_mean_600s,0.9932286143302917,-6.905513513759813e-05
1199243,mkt_mid_std_300s,0.002438973169773817,6.771998152082571e-05
1199243,mkt_mid_return_60s,0.0017683497862890363,-6.624486796662242e-05
1199243,mkt_mid_mean_120s,0.9968695044517517,6.543384473382753e-05
1199243,ord_new_count_imbalance_10s,0.39393940567970276,6.419801083636568e-05
1199243,txn_volume_imbalance_1s,1.0,6.34449870920843e-05
1199243,txn_count_imbalance_10s,0.7714285850524902,6.317777731774487e-05
1199243,mkt_trade_aggression_600s,0.303468257188797,-5.922267429131945e-05
1199243,mkt_depth_imb12_last,-0.8715313673019409,-5.920081836194383e-05
1199243,txn_vwap_30s,0.9976477026939392,-5.0140315642976455e-05
1199243,mkt_mid_range_600s,0.008818358182907104,4.8390749784861025e-05
1199243,txn_volume_imbalance_30s,0.22459222376346588,4.7868614614193696e-05
1199243,ord_decay_imbalance_lam0p1,0.6990948915481567,4.602793852639823e-05
1185708,ord_new_count_imbalance_60s,1.0,8.191464921752471e-05
1185708,ord_new_count_imbalance_30s,1.0,5.461323976532479e-05
1185708,txn_count_imbalance_10s,-1.0,-5.409848812511585e-05
1185708,mkt_bid_slope_last,,3.898697829250946e-05
1185708,txn_volume_imbalance_30s,-1.0,-3.839315103224407e-05
1185708,mkt_empty_ask_share,1.0,-3.618486798323292e-05
1185708,ord_new_count_imbalance_10s,1.0,3.0105885160689036e-05
1185708,txn_count_imbalance_30s,-1.0,-2.9181643242368455e-05
1185708,ord_ofi_60s,0.2861952781677246,2.7301027815735048e-05
1185708,mkt_mid_start_600s,,2.3905323638908606e-05
1185708,ord_cancel_count_imbalance_60s,1.0,-2.3330814980990834e-05
1185708,ord_cancel_count_imbalance_10s,1.0,-2.220645214050624e-05
1185708,mkt_trade_aggression_600s,,2.014430013602108e-05
1185708,txn_volume_imbalance_5s,-1.0,-2.0116508918209788e-05
1185708,txn_count_imbalance_5s,-1.0,-1.9562207841928557e-05
1185708,mkt_trade_aggression_60s,,-1.9425690450994936e-05
1185708,mkt_mid_return_60s,,-1.8721560231626297e-05
1185708,mkt_mid_std_300s,,1.8406294580075505e-05
1185708,mkt_ask_slope_last,,-1.771484805794049e-05
1185708,ord_decay_imbalance_lam0p1,1.0,1.7641147335849043e-05
1190644,ord_new_count_imbalance_30s,-0.4444444477558136,-6.0584651167317564e-05
1190644,ord_new_count_imbalance_10s,-0.6363636255264282,-5.41175433198766e-05
1190644,txn_count_imbalance_10s,0.5,5.3657266083863145e-05
1190644,mkt_mid_start_600s,1.0050952434539795,-4.444564338342948e-05
1190644,ord_new_count_imbalance_5s,-0.75,-4.332334812095423e-05
1190644,ord_new_count_imbalance_60s,-0.46666666865348816,-4.200040974629267e-05
1190644,mkt_mid_std_600s,0.001850007800385356,-3.133761140531736e-05
1190644,txn_volume_imbalance_30s,0.5,2.846657079752125e-05
1190644,txn_volume_imbalance_10s,0.5,2.7786009020465e-05
1190644,mkt_trade_aggression_60s,0.31247058510780334,2.7535845269221346e-05
1190644,ord_cancel_count_imbalance_30s,-0.6000000238418579,2.6407799793876336e-05
1190644,txn_count_imbalance_30s,0.5,2.332180160340748e-05
1190644,ord_cancel_count_imbalance_60s,-0.5,2.290509492437884e-05
1190644,mkt_mid_return_5s,-0.00022155046463012695,-2.002071146777964e-05
1190644,txn_volume_imbalance_5s,-1.0,-1.8471875042609786e-05
1190644,ord_ofi_60s,-0.08982036262750626,-1.8119364451449634e-05
1190644,mkt_microprice_last,0.999911367893219,1.7187278287026893e-05
1190644,txn_count_imbalance_60s,0.6000000238418579,1.5601717317053007e-05
1190644,mkt_mid_return_600s,-0.005289811175316572,-1.3552289404724276e-05
1190644,txn_count_imbalance_5s,-1.0,-1.318258777355798e-05
1177388,mkt_mid_std_600s,0.006087508052587509,0.0002712809499518831
1177388,mkt_mid_range_120s,0.008179068565368652,0.0002640229554479337
1177388,mkt_mid_range_600s,0.018940985202789307,0.00019961066127285242
1177388,mkt_trade_count_rate_300s,8.963333129882812,-0.00017171949231987887
1177388,mkt_mid_std_300s,0.0057574971579015255,0.00014762506337511185
1177388,ord_new_count_imbalance_30s,0.46606335043907166,0.0001407414724994035
1177388,ord_new_count_imbalance_10s,0.37662336230278015,0.00013884208073880897
1177388,ord_new_count_imbalance_5s,0.43589743971824646,0.00013750926912533637
1177388,ord_ofi_60s,0.2623691260814667,0.00012650382423423534
1177388,mkt_mid_return_600s,-0.015681281685829163,0.00012162304927787372
1177388,mkt_mid_range_300s,0.017649590969085693,0.00011475208660819416
1177388,mkt_trade_count_rate_30s,7.800000190734863,0.0001144299480255928
1177388,mkt_trade_count_rate_60s,9.566666603088379,-0.00011130097726415501
1177388,ord_cancel_count_imbalance_60s,-0.35820895433425903,0.00010957051728541169
1177388,mkt_trade_aggression_5s,-0.7623926997184753,-0.0001010392487557883
1177388,mkt_depth_imb1_delta_120s_vs_600s,-0.15168234705924988,9.909344228144954e-05
1177388,mkt_mid_start_300s,1.0152819156646729,-8.96870553647728e-05
1177388,mkt_mid_std_120s,0.002703486243262887,-8.777543971670493e-05
1177388,mkt_mid_return_120s,-0.005991864018142223,8.089949519576334e-05
1177388,mkt_mid_start_120s,1.0058114528656006,7.932264670059658e-05
1245326,txn_count_imbalance_10s,-0.7142857313156128,-3.6472214813138996e-05
1245326,mkt_depth_imb12_mean_600s,-0.31858640909194946,3.1782567438855576e-05
1245326,ord_cancel_count_imbalance_1s,-1.0,2.440282182597649e-05
1245326,ord_new_count_imbalance_10s,-0.2800000011920929,-2.4050343240758707e-05
1245326,txn_volume_imbalance_30s,0.3799999952316284,2.334319064195869e-05
1245326,txn_volume_imbalance_5s,-0.9090909361839294,-2.2887945596822208e-05
1245326,ord_new_count_imbalance_30s,-0.125,-2.1415508077628696e-05
1245326,txn_volume_imbalance_10s,-0.8399999737739563,-1.7463662123270924e-05
1245326,ord_new_count_imbalance_60s,-0.1366906464099884,-1.5916297098899432e-05
1245326,ord_cancel_count_imbalance_30s,0.6000000238418579,-1.583431927556564e-05
1245326,ord_new_count_imbalance_5s,-0.30000001192092896,-1.4365845338426036e-05
1245326,txn_count_imbalance_5s,-0.8333333134651184,-1.4256793745854004e-05
1245326,mkt_trade_aggression_60s,0.09847103804349899,1.3866785051387786e-05
1245326,mkt_microprice_last,1.0000708103179932,-1.1285901221893975e-05
1245326,mkt_trade_aggression_5s,-0.8636087775230408,-1.0891373412335308e-05
1245326,txn_count_imbalance_30s,0.12820513546466827,1.0745499969605574e-05
1245326,ord_ask_vwap_1s,1.0007848739624023,-9.298361397703044e-06
1245326,mkt_depth_imb1_delta_5s_vs_600s,-0.5650943517684937,-9.036501867856944e-06
1245326,ord_decay_imbalance_lam0p1,0.3053150475025177,8.868943916888634e-06
1245326,ord_ofi_30s,0.1570248007774353,8.856108451347615e-06
1222842,mkt_trade_volume_rate_600s,7681.68310546875,-0.00010522936262887425
1222842,mkt_mid_return_60s,0.001608380232937634,-5.882374419544433e-05
1222842,ord_bid_vwap_60s,0.990026593208313,3.945481666304413e-05
1222842,mkt_trade_count_rate_600s,6.4633331298828125,-3.927230127170718e-05
1222842,txn_count_imbalance_10s,-0.5882353186607361,-3.852445564045548e-05
1222842,ord_new_count_imbalance_10s,-0.21875,-3.616848767566761e-05
1222842,ord_new_count_imbalance_60s,-0.18694362044334412,-3.395204938296216e-05
1222842,ord_cancel_count_imbalance_30s,0.517241358757019,-3.248723243018512e-05
1222842,ord_new_count_imbalance_30s,-0.21348313987255096,-3.177582487266176e-05
1222842,ord_ask_vwap_60s,1.0218286514282227,-3.153021519527355e-05
1222842,txn_vwap_5s,0.9993798136711121,-2.638497239273648e-05
1222842,mkt_depth_imb1_std_10s,1.060927391052246,-2.3074994842389704e-05
1222842,txn_volume_imbalance_30s,-0.29878050088882446,-2.304843106697599e-05
1222842,ord_cancel_count_imbalance_60s,0.12903225421905518,-2.2473100854439495e-05
1222842,mkt_mid_start_300s,1.0028090476989746,2.0608930567758216e-05
1222842,txn_count_imbalance_5s,-0.75,-1.986717554811383e-05
1222842,mkt_micro_minus_mid_last,-0.0003558089374564588,-1.7758477988525285e-05
1222842,ord_event_rate_10s,7.099999904632568,1.6530053276181927e-05
1222842,mkt_trade_count_rate_120s,4.608333110809326,-1.599982056984114e-05
1222842,ord_ask_vwap_30s,1.027124285697937,-1.588291406845763e-05
1212127,mkt_micro_minus_mid_last,-0.00046675631892867386,-5.4982857033906e-05
1212127,ord_new_count_imbalance_30s,0.3333333432674408,5.245942225420535e-05
1212127,mkt_bid_slope_last,0.0001024007797241211,4.6328594538278026e-05
1212127,mkt_ask_slope_last,0.0001024007797241211,-3.97599920725615e-05
1212127,mkt_mid_return_30s,0.0008704361389391124,-3.3579303456933604e-05
1212127,txn_vwap_60s,1.0012950897216797,3.257685000532097e-05
1212127,txn_count_imbalance_10s,-1.0,-2.5631753948943752e-05
1212127,ord_new_count_imbalance_5s,-0.5,-2.4806922144617945e-05
1212127,ord_ofi_60s,0.06409081816673279,2.2936042048192306e-05
1212127,mkt_total_depth_mean_10s,1619.3333740234375,-2.2467738588581242e-05
1212127,mkt_mid_return_60s,-0.0005624555633403361,2.153825290043119e-05
1212127,txn_count_imbalance_60s,-0.3333333432674408,-2.0265126346290973e-05
1212127,mkt_trade_aggression_60s,0.3152122497558594,2.0181923446469152e-05
1212127,txn_volume_imbalance_30s,0.3576437532901764,1.7791788269859424e-05
1212127,txn_volume_imbalance_10s,-1.0,-1.7167885452073903e-05
1212127,txn_vwap_total,1.0012950897216797,1.5568440534686876e-05
1212127,ord_ofi_30s,0.12910069525241852,1.392736048883271e-05
1212127,mkt_mid_return_120s,-0.0008689234964549541,1.371767135209625e-05
1212127,ord_cancel_count_imbalance_60s,-0.25925925374031067,1.3540299625513291e-05
1212127,mkt_microprice_last,1.0003012418746948,-1.318957948435976e-05
