shape_feature,max_abs_corr,closest_existing
shp_n_snaps,1.0000014305114746,mkt_snapshot_rate_600s
shp_imb_drift,0.9903159141540527,mkt_depth_imb1_delta_300s_vs_600s
shp_gap_cv,0.9345934987068176,mkt_snapshot_rate_600s
shp_imb_slope,0.930908203125,mkt_depth_imb1_delta_300s_vs_600s
shp_mid_slope,0.9059216976165771,mkt_mid_return_600s
shp_max_gap,0.8623160123825073,mkt_n_snapshots
shp_imb_trend_corr,0.8376002311706543,mkt_depth_imb1_delta_300s_vs_600s
shp_mid_drawdown_rel,0.7152593731880188,mkt_mid_return_600s
shp_mid_runup_rel,0.6413025259971619,mkt_mid_range_600s
shp_rv_signature_ratio,0.5421195030212402,mkt_depth_imb1_std_600s
shp_sign_persistence,0.527194619178772,mkt_mid_range_600s
shp_spread_slope,0.24358119070529938,mkt_spread_last_vs_mean
shp_mid_range_over_path,0.22147236764431,mkt_depth_imb1_std_120s
shp_depth_slope,0.21732710301876068,mkt_last_valid_gap
shp_mid_path_efficiency,0.21388153731822968,mkt_depth_imb1_std_300s
shp_depth_drift,0.20415806770324707,mkt_last_valid_gap
shp_mid_autocorr1,0.19351129233837128,mkt_depth_imb1_std_600s
shp_spread_drift,0.18088287115097046,mkt_spread_last_vs_mean
